City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
7,Pocone,BR,72.34,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
10,Rikitea,PF,74.7,light rain,-23.1203,-134.9692,People ThankYou
12,Kapaa,US,80.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Comodoro Rivadavia,AR,76.86,few clouds,-45.8667,-67.5,Austral Hotel
19,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
22,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
24,Atuona,PF,77.79,scattered clouds,-9.8,-139.0333,Villa Enata
26,Padang,ID,74.82,moderate rain,-0.9492,100.3543,Mercure Padang
27,Sydney,AU,73.58,clear sky,-33.8679,151.2073,The Grace Sydney
29,Faanui,PF,78.73,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Itarema,BR,79.74,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
33,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
35,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
38,Carnarvon,AU,73.71,clear sky,-24.8667,113.6333,Hospitality Carnarvon
54,Guadalajara,MX,75.97,overcast clouds,20.6667,-103.3333,Hotel Aranzazú
59,Iralaya,HN,79.7,light rain,15.0,-83.2333,Iglesia morava renovada
60,Guerrero Negro,MX,70.11,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
61,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
63,Hilo,US,79.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
65,Ahuimanu,US,83.75,clear sky,21.4447,-157.8378,Paradise Bay Resort
67,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Butaritari,KI,80.15,broken clouds,3.0707,172.7902,Isles Sunset Lodge
70,Vaini,TO,77.32,overcast clouds,-21.2,-175.2,Keleti Beach Resort
71,Miraflores,MX,75.87,few clouds,19.2167,-98.8083,Hotel Mansión
75,Kribi,CM,78.3,overcast clouds,2.95,9.9167,La Grace Hôtel
77,Sao Felix Do Xingu,BR,73.99,very heavy rain,-6.6447,-51.995,Rio Xingu Camping
79,Acapulco,MX,82.44,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
80,Dingle,PH,78.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
82,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
88,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
99,Hobyo,SO,79.52,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
101,Sampang,ID,80.71,light rain,-7.1872,113.2394,sekretariat IKA STAIN
115,Rawson,AR,72.97,few clouds,-43.3002,-65.1023,Hosteria Sampedro
118,San Andres,CO,83.32,light rain,12.5847,-81.7006,Hotel Arena Blanca
121,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
129,Hervey Bay,AU,76.3,clear sky,-25.2986,152.8535,Shelly Bay Resort
132,Oriximina,BR,83.98,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
135,Kinango,KE,71.35,broken clouds,-4.1372,39.3153,Legacy Hotel
141,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
143,Phan Thiet,VN,75.36,overcast clouds,10.9333,108.1,Hotel Saigon-PT
146,Waingapu,ID,81.9,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
151,Garissa,KE,76.08,light rain,-0.4536,39.6401,Sharif Plaza Hotel
